10.0.50.1	3
10.1.0.10	12
10.1.0.11	80
10.1.0.13	55
10.1.0.190	6
10.1.0.191	2
10.1.0.192	2
10.1.0.194	2
10.1.0.195	9
10.1.0.196	2
10.1.0.197	2
10.1.0.254	218
10.1.0.9	2
10.1.100.1	14
10.1.100.101	33
10.1.100.104	3
10.1.100.105	740
10.1.100.106	475
10.1.100.107	5
10.1.100.111	21
10.1.100.112	80
10.1.100.114	48
10.1.100.115	60
10.1.100.116	55
10.1.100.124	54
10.1.100.130	289
10.1.100.133	477
10.1.100.134	42
10.1.100.174	816
10.1.100.175	348
10.1.100.180	2
10.1.100.2	407
10.1.100.201	43
10.1.100.202	36
10.1.100.205	6
10.1.100.211	7
10.1.100.212	255
10.1.100.213	48
10.1.100.215	121
10.1.100.216	96
10.1.100.220	1
10.1.100.221	4
10.1.100.222	13
10.1.100.223	1
10.1.100.224	11
10.1.100.229	7
10.1.100.23	3
10.1.100.235	3
10.1.100.237	27
10.1.100.254	1381
10.1.100.29	19
10.1.100.3	1
10.1.100.4	12
10.1.100.43	9
10.1.100.50	19
10.1.100.52	2
10.1.100.53	104
10.1.100.58	2
10.1.100.63	63
10.1.100.68	35
10.1.100.74	1
10.1.100.75	3
10.1.100.90	2
10.1.100.93	41
10.1.100.94	22
10.1.11.161	15
10.1.11.170	19
10.1.11.182	4
10.1.11.254	989
10.1.11.69	18
10.1.11.72	30
10.1.11.83	881
10.1.11.9	7
10.1.200.109	14
10.1.200.11	1
10.1.200.113	15
10.1.200.12	20
10.1.200.120	12
10.1.200.122	4
10.1.200.123	24
10.1.200.124	3
10.1.200.125	3
10.1.200.130	2
10.1.200.134	3
10.1.200.135	2
10.1.200.138	1
10.1.200.139	3
10.1.200.142	36
10.1.200.143	1
10.1.200.144	4
10.1.200.147	1
10.1.200.155	1
10.1.200.16	6
10.1.200.161	37
10.1.200.163	4
10.1.200.170	23
10.1.200.174	15
10.1.200.175	13
10.1.200.177	11
10.1.200.18	6
10.1.200.185	7
10.1.200.188	13
10.1.200.189	34
10.1.200.194	11
10.1.200.21	9
10.1.200.254	407
10.1.200.35	8
10.1.200.36	1
10.1.200.37	1
10.1.200.41	19
10.1.200.44	5
10.1.200.49	6
10.1.200.5	16
10.1.200.51	94
10.1.200.52	18
10.1.200.55	3
10.1.200.57	32
10.1.200.58	18
10.1.200.6	50
10.1.200.61	5
10.1.200.65	1061
10.1.200.70	27
10.1.200.72	1
10.1.200.73	4
10.1.200.75	3
10.1.200.76	7
10.1.200.77	6
10.1.200.85	19
10.1.200.90	10
10.1.200.94	3
10.1.200.95	4
10.1.200.96	5
10.1.200.98	35
10.1.254.1	11
10.1.254.254	2
10.1.254.3	33
10.1.254.6	8
10.1.254.7	4
10.2.100.254	23
169254116187	2
169254136209	1
169.254.142.81	6
169.254.165.11	1
169.254.179.99	1
169.254.23.4	1
169254255255	205
169.254.54.135	3
192.168.0.1	11
192.168.1.1	56
192.168.1.100	2
192.168.1.101	1
192.168.1.102	1
192.168.1.103	2
192.168.1.104	1
192.168.1.105	4
192.168.1.106	2
192.168.1.107	3
192.168.1.108	2
192.168.1.109	1
192.168.1.110	1
192.168.1.111	1
192.168.1.112	3
192.168.1.113	2
192.168.1.114	1
192.168.1.115	4
192.168.1.116	5
192.168.1.117	3
192.168.1.118	2
192.168.1.119	3
192.168.1.120	2
192.168.1.121	1
192.168.1.122	1
192.168.1.123	2
192.168.1.124	3
192.168.1.126	1
192.168.1.127	2
192.168.1.129	1
192.168.1.131	2
192.168.1.132	2
192.168.1.133	2
192.168.1.134	3
192.168.1.135	3
192.168.1.136	2
192.168.1.137	2
192.168.1.138	2
192.168.1.139	1
192.168.1.142	2
192.168.1.143	1
192.168.1.144	2
192.168.1.145	3
192.168.1.146	1
192.168.1.147	2
192.168.1.148	2
192.168.1.149	2
192.168.1.254	1
192.168.2.1	1
255.255.255.255	2
