10.1.0.10	12
10.1.0.11	80
10.1.0.13	55
10.1.0.190	6
10.1.0.195	9
10.1.0.254	218
10.1.100.1	14
10.1.100.101	33
10.1.100.105	740
10.1.100.106	475
10.1.100.111	21
10.1.100.112	80
10.1.100.114	48
10.1.100.115	60
10.1.100.116	55
10.1.100.124	54
10.1.100.130	289
10.1.100.133	477
10.1.100.134	42
10.1.100.174	816
10.1.100.175	348
10.1.100.2	407
10.1.100.201	43
10.1.100.202	36
10.1.100.205	6
10.1.100.211	7
10.1.100.212	255
10.1.100.213	48
10.1.100.215	121
10.1.100.216	96
10.1.100.222	13
10.1.100.224	11
10.1.100.229	7
10.1.100.237	27
10.1.100.254	1381
10.1.100.29	19
10.1.100.4	12
10.1.100.43	9
10.1.100.50	19
10.1.100.53	104
10.1.100.63	63
10.1.100.68	35
10.1.100.93	41
10.1.100.94	22
10.1.11.161	15
10.1.11.170	19
10.1.11.254	989
10.1.11.69	18
10.1.11.72	30
10.1.11.83	881
10.1.11.9	7
10.1.200.109	14
10.1.200.113	15
10.1.200.12	20
10.1.200.120	12
10.1.200.123	24
10.1.200.142	36
10.1.200.16	6
10.1.200.161	37
10.1.200.170	23
10.1.200.174	15
10.1.200.175	13
10.1.200.177	11
10.1.200.18	6
10.1.200.185	7
10.1.200.188	13
10.1.200.189	34
10.1.200.194	11
10.1.200.21	9
10.1.200.254	407
10.1.200.35	8
10.1.200.41	19
10.1.200.49	6
10.1.200.5	16
10.1.200.51	94
10.1.200.52	18
10.1.200.57	32
10.1.200.58	18
10.1.200.6	50
10.1.200.65	1061
10.1.200.70	27
10.1.200.76	7
10.1.200.77	6
10.1.200.85	19
10.1.200.90	10
10.1.200.98	35
10.1.254.1	11
10.1.254.3	33
10.1.254.6	8
10.2.100.254	23
169.254.142.81	6
169254255255	205
192.168.0.1	11
192.168.1.1	56
